,Hydro,PumpedStorage,Nuclear,Coal,FuelGas,DieselEngines,GasTurbine,SteamTurbine,CombinedCycle,Hydroeolian,Wind,SolarPhotovoltaic,ThermalSolar,OtherRenewables,Cogeneration,NonRenewableWaste,RenewableWaste,TotalGeneration,year,month
2022-11,1311831.7299999993,361663.867,4182092.888,319685.8209999999,,192196.61099999995,47409.887,93771.169,4672403.057,1169.409,6681883.514000003,1541121.356,104765.418,365868.14500000014,1451635.239000002,127590.54350000016,67535.71449999999,21522624.369,2022,11
2022-12,2750595.903000002,485359.059,5161189.944,693262.8919999988,,200241.64499999996,48856.536,122696.655,4368588.275,367.104,5579328.618999999,1132010.862,59778.183,321123.295,1099432.043,134668.03250000003,73273.15550000005,22230772.202999998,2022,12
2023-01,3859362.994999998,542797.45,5086763.589,295484.0459999998,,186632.06299999988,64152.798,118030.389,2708507.873,1649.504,7457302.3359999955,1744409.448,119507.759,291615.6949999999,1210259.5489999994,103404.02800000003,68128.83799999995,23858008.359999992,2023,1
2023-02,2462733.916999999,260871.229,4597959.716,407401.9859999995,,195871.71800000008,59331.864,118052.049,4367513.452,829.341,4676693.515999994,2151530.691,178785.415,357349.40399999975,1720034.2319999982,115258.86949999999,71962.4925,21742179.891999986,2023,2
2023-03,2044472.686000002,540079.804,5102291.068,423067.6940000001,-0.001,177249.23899999994,51356.45,103679.242,3114385.281,1572.445,6695328.480999995,3097262.296,409939.524,308275.3669999999,1744145.1039999991,120437.82550000004,72250.19649999999,24005792.701999996,2023,3
2023-04,1533648.4659999998,611590.252,4567269.056,248946.28099999996,,184156.97500000003,50541.317,89164.951,2874863.111,1573.337,4902310.821999998,3784527.46,625724.51,273108.3389999998,1574628.278999999,91245.80799999995,57926.92900000006,21471225.893,2023,4
2023-05,1392479.1209999989,482569.639,3741768.391,239072.7280000001,,194114.8219999998,58692.388,84880.949,3333273.991,2067.195,5465418.245000003,3874702.485,500293.922,338176.0900000003,1695439.4279999982,71357.61600000004,45423.98599999997,21519730.996000003,2023,5
2023-06,1920006.485999998,288840.65,4008721.126,300829.5019999999,,210872.494,77464.718,84905.441,4673613.381,808.738,3083405.509000001,3869501.913,541927.3,321636.1339999999,1730289.4460000007,122925.563,81083.83799999997,21316832.239000004,2023,6
2023-07,1308841.169,317617.375,5123133.915,332920.0330000001,0.001,243092.64400000012,82460.376,101065.799,4950496.446,2759.057,3862653.8029999994,4574423.98,768645.378,319800.9500000003,1475938.522,126997.64700000011,83521.415,23674368.509999998,2023,7
2023-08,981141.0970000002,417216.079,5008274.547,415009.40799999994,-0.001,260850.629,70216.823,105316.15,4999430.404,2699.828,4271583.609000004,4470421.94,719885.809,340362.5790000001,1289441.6799999997,119505.76549999998,77315.77649999999,23548672.123000007,2023,8
2023-09,932569.9940000004,351919.43,4546818.519,400694.77500000055,,219414.04499999993,67643.652,105510.948,4866768.68,1314.992,3598019.405000001,3367586.764,401017.822,285205.14800000004,1442476.1569999985,116366.4079999999,73649.17800000007,20776975.917,2023,9
2023-10,1456377.368999999,494625.232,3741507.112,372653.8470000002,-0.001,228108.6479999997,74986.136,119677.701,4086735.898,443.24,5795397.353000006,2649786.461,226738.199,263627.4880000002,1263139.9639999995,119505.53349999984,76525.05949999997,20969835.24000001,2023,10
2023-11,3453969.4299999992,450508.087,3761317.407,220612.32099999997,,203459.05499999973,48532.688,90916.317,2882239.454,1089.965,7005392.651,2011184.144,111284.369,239850.0819999999,997109.3159999998,100264.97300000004,63522.69100000005,21641252.949999996,2023,11
2023-12,3984079.7469999976,445303.885,4990078.5,211787.51099999997,,207489.11199999985,49064.317,96450.06,3192573.679,669.13,5835850.382,1876351.661,92059.718,255428.64600000024,1171412.406,111863.16900000007,74725.52799999999,22595187.450999998,2023,12
