,Hydro,PumpedStorage,Nuclear,Coal,FuelGas,DieselEngines,GasTurbine,SteamTurbine,CombinedCycle,Hydroeolian,Wind,SolarPhotovoltaic,ThermalSolar,OtherRenewables,Cogeneration,NonRenewableWaste,RenewableWaste,TotalGeneration,year,month
2014-11,2452065.4739999995,326908.325,4363827.098,3230149.6280000038,,250129.4780000001,64843.408,168773.923,2288022.404,154.755,5093131.520000002,385421.021,90187.434,288090.2849999999,1934806.7339999997,178302.3625000001,60301.94649999995,21175115.79600001,2014,11
2014-12,3284048.5850000004,326441.799,4686277.883,4219022.794000003,,272776.17,76346.565,195668.218,2277135.572,187.535,4788820.615000002,453839.806,124471.726,298995.75800000015,1989474.827000002,210173.871,73591.17199999999,23277272.896000013,2014,12
2015-01,2554830.4549999973,319021.036,5240045.056,5067415.959999996,0.322,275047.6019999999,64986.361,202134.491,2490379.756,384.989,4954530.712000002,518440.257,176951.396,301803.8360000002,2164162.633,197694.9664999997,64152.76149999998,24591982.589999996,2015,1
2015-02,3559006.203,291339.649,4716807.315,3092861.456000001,,253154.9959999997,61640.558,176199.239,1947035.374,344.341,5992546.665000002,494227.516,190925.26,245329.70899999997,1925052.2809999983,177613.70800000007,59516.46299999994,23183600.733,2015,2
2015-03,3845583.5749999974,327144.743,5203717.493,2738925.5379999983,9.275,267586.08700000023,62503.717,182029.195,1899200.696,204.855,4907496.058000005,713261.827,415828.662,274297.6850000003,2080709.938,207612.8594999999,72007.51349999994,23198119.717,2015,3
2015-04,2662811.795999999,255862.712,4681620.985,3005329.368999997,,257880.88500000024,55779.798,159569.774,2023209.475,96.545,3933919.984000004,755910.116,393160.486,201677.78900000016,2013602.7050000012,168034.79149999996,47499.35849999997,20615966.569000002,2015,4
2015-05,2967173.436000001,242841.461,3534498.833,2933586.6509999987,0.0,279486.2249999999,80853.614,150479.185,1941507.47,179.515,4841183.286000003,924092.431,694838.74,274889.199,2076463.9270000013,207887.27750000003,64893.15350000002,21214854.40400001,2015,5
2015-06,2497589.0120000015,125366.831,3750101.549,5509565.899999997,,260523.607,94267.204,185133.955,2151770.152,326.206,2903929.3430000017,889206.222,734053.937,288140.6490000001,2063674.739,210368.38650000017,73037.4605,21737055.152999997,2015,6
2015-07,2060397.9150000033,110974.056,4794536.939,6275418.030999997,,319964.3560000004,106001.326,204034.609,3722812.314,2072.161,3113294.279,933157.704,888917.71,309891.8919999999,2160629.367999999,223355.451,73160.61600000001,25298618.726999998,2015,7
2015-08,1643719.7,202464.244,4962672.806,5442509.918999999,7.021,325897.00399999984,105981.383,206268.151,2603203.326,1917.459,3287343.706999998,831901.007,607623.488,317503.0820000003,2039374.739000001,226599.06000000008,70309.05599999994,22875295.152,2015,8
2015-09,1609521.3059999982,162105.536,4871533.734,4786664.984000007,,301177.6360000001,90789.759,216741.247,2252024.385,716.122,3020624.8620000007,722203.932,483250.153,307429.3180000003,2151169.279999999,217542.8259999997,70194.00099999999,21263689.081000004,2015,9
2015-10,1650166.8120000013,249577.276,4085582.56,4384071.272999999,,276858.25399999996,71824.155,163090.201,2553136.502,453.293,3901151.1609999966,537711.617,188168.866,314764.7449999995,2214357.417000001,230577.67249999993,75951.56250000003,20897443.366999995,2015,10
2015-11,1892683.129999999,276574.956,3964219.502,4665864.604000006,,250399.7969999998,63913.993,155701.447,2467549.176,868.56,3724598.164999997,529698.664,226817.751,307126.1890000001,2130019.2730000005,217715.25299999997,74485.47500000005,20948235.935000006,2015,11
2015-12,1439096.6349999981,332093.3,4856466.533,4714263.913000002,,277097.9450000001,57229.981,221569.073,2975460.709,643.378,3537269.293999997,393749.612,84699.065,289737.828,2181661.4659999986,195106.71649999975,72842.28150000004,21628987.73,2015,12
2016-01,3441828.1219999976,454984.883,4607560.676,2695055.29,,262162.12799999997,66488.046,229357.249,2197917.511,790.736,5624577.741,364458.262,59913.641,270624.55899999983,2130972.8570000003,209911.18649999995,66351.43549999989,22682954.323,2016,1
2016-02,4052881.699000007,434367.601,3961132.227,1879957.1720000005,0.236,266153.79699999985,41492.728,206628.441,1620589.313,1770.319,6109530.7389999945,480081.441,133009.79,261567.1089999998,1970774.4269999985,192987.24649999963,53484.91449999992,21666409.199999996,2016,2
2016-03,4366547.421000001,351102.472,5190041.431,1767823.6700000009,,299146.3880000004,31683.312,219238.82,1664034.453,1510.166,5443970.297000005,709289.5,387860.762,255630.42000000033,2072560.103000001,218086.4489999999,66529.24000000006,23045054.904000007,2016,3
2016-04,5244882.436000001,429299.679,5052210.48,1033267.8190000014,,284582.3749999999,28204.902,193721.365,1451939.214,1280.933,4441296.233000002,721480.234,408323.232,209994.0330000001,1995540.688000001,191974.3295,39262.20249999998,21727260.15500001,2016,4
2016-05,5101205.590999995,316019.127,3877837.23,1207787.5719999997,0.0,301512.8540000002,35818.481,173241.376,1769280.918,896.733,3933102.7529999977,807003.421,498795.382,277221.20700000017,2115728.1019999995,151878.56800000012,39159.78699999999,20606489.10199999,2016,5
2016-06,2956172.205000001,169552.523,4814131.857,2255516.9299999997,,301908.085,47312.188,204521.105,2120171.155,1990.341,3271334.973000001,924052.32,813990.671,287560.6570000001,2171085.792000001,209614.598,69139.42799999999,20618054.828,2016,6
2016-07,2273200.4230000023,96849.527,5176652.116,3927734.3889999967,0.0,341774.8800000001,62364.324,222425.385,2614379.726,2569.133,3521941.5979999984,918530.369,825324.58,311079.6270000005,2242707.2220000015,254605.8939999996,75307.69699999999,22867446.889999997,2016,7
2016-08,2047078.3579999995,110357.65,5150521.036,3645503.785999994,,348599.0260000002,86717.599,236303.294,2271750.907,2210.786,3652945.4790000007,895838.735,805818.797,326727.04499999987,2123530.0029999996,256242.4309999998,73403.18899999993,22033548.12099999,2016,8
2016-09,1653646.3790000002,101239.968,5008646.428,4552416.376000001,-0.001,302751.8710000001,81380.946,224005.587,2391824.419,2161.999,2713826.675999997,766070.232,595626.693,307662.6610000003,2138073.7700000005,250021.1420000002,75079.72800000009,21164434.873999998,2016,9
2016-10,1631830.4690000005,161437.399,5093041.035,4497462.5819999995,,321201.64099999995,45501.578,208579.202,3591206.967,704.287,2389618.0890000006,584444.819,284702.891,306358.09699999995,2321390.533999999,244204.75350000008,74217.03450000002,21755901.377999995,2016,10
2016-11,1499053.2399999993,258233.603,3762539.13,4628960.457000001,,280264.438,46176.08,172038.612,3752073.842,993.84,3906853.137999999,426513.254,139699.618,304816.5949999995,2298320.5710000005,214704.03250000003,74121.1855000001,21765361.635999996,2016,11
2016-12,1846561.852,250884.627,4327368.413,5222291.708000001,,292406.0069999998,42897.118,246082.567,3561313.669,1012.663,2687662.5929999975,379704.598,118135.645,306422.8179999998,2327959.4899999993,212733.1340000002,79339.18799999997,21902776.089999996,2016,12
2017-01,2040641.1739999976,291213.041,5283554.335,5379306.657999998,,308396.3580000001,44311.594,210591.342,3229713.911,1068.971,4812548.538,476155.057,149212.081,327460.5290000001,2452616.5869999994,224853.1165000001,72733.75949999999,25304377.051999994,2017,1
2017-02,1956588.3229999973,267739.588,4766657.187,3502945.0599999996,,267440.84199999983,34038.238,197528.399,1774794.254,1435.85,4928506.466999999,445436.885,88740.902,289719.8250000002,2209564.575000001,198534.40200000015,63647.489,20993318.285999995,2017,2
2017-03,2701231.0490000006,241223.576,5269133.725,1943034.916999998,0.001,274612.041,47008.453,217664.061,1708967.145,2122.233,4724369.211000001,717348.576,340844.685,269560.85000000015,2394489.8059999994,220085.9674999998,70866.81250000003,21142563.108999997,2017,3
2017-04,1897982.0270000005,199433.452,4926069.892,2064470.8180000004,-0.001,284057.02400000027,32718.799,240116.471,1483940.06,968.504,4196146.9679999985,836604.703,535255.478,232816.752,2235475.9369999995,187774.349,61681.89599999995,19415513.129,2017,4
2017-05,1935428.3920000012,162454.971,4130870.31,3749064.2439999976,,308773.09500000015,53119.417,210579.842,1873502.101,1475.118,3465996.28,872979.634,607898.177,298767.3609999997,2329243.5479999976,187243.578,45922.10100000003,20233318.169,2017,5
2017-06,1637871.4990000015,91897.737,4034332.738,4544526.412,,310083.2890000001,62818.861,245173.496,3394960.599,2217.806,3192372.040999999,881515.888,761902.153,302616.86899999983,2318137.434000003,225843.0260000002,81467.66399999999,22087737.512000002,2017,6
2017-07,1193059.2510000009,98826.694,4385200.742,4304383.765000006,,335107.035,87716.945,239513.297,4000880.25,3109.007,3387354.827,917559.596,812880.286,333388.93799999973,2401133.971999999,215109.53950000004,83370.79050000003,22798594.93500001,2017,7
2017-08,1082726.8900000004,112205.181,5078952.117,3226266.132,-0.001,336154.4159999999,110918.405,236212.208,3770345.687,2450.308,3343930.450999998,819231.922,692435.175,316027.45399999985,2261146.1939999987,229901.4729999999,80367.90400000004,21699271.915999997,2017,8
2017-09,1147848.444000002,118471.554,4722573.526,3058567.8759999988,0.0,268845.02899999986,114159.846,220949.87,3445411.813,2337.138,2872132.409999997,775733.923,608142.655,309496.32200000016,2275769.9639999997,228790.9735000001,77904.9315,20247136.274999995,2017,9
2017-10,773649.9139999994,133820.915,4301325.456,4097649.646000003,0.0,266509.958,105380.663,221962.174,4178056.08,971.276,3208246.349000001,682149.995,398793.222,309764.0209999996,2396314.9150000014,242892.44500000004,80609.65200000003,21398096.681000005,2017,10
2017-11,832696.4169999999,222091.267,3601572.414,4817169.298000002,,243305.42400000012,88248.754,208836.062,4887878.708,790.825,3981906.256000006,540731.552,220652.322,307753.29699999985,2444672.0799999987,217891.7790000003,77924.10800000001,22694120.563000005,2017,11
2017-12,1250895.362000001,309586.467,5039108.604,4332035.566999998,,252739.04099999985,90720.073,225266.628,3317336.475,1286.021,5793445.762999998,432304.962,131195.329,312975.6640000004,2493241.6910000015,229063.86600000027,80508.97899999998,24291710.492,2017,12
2018-01,2194881.9950000015,273436.502,5096325.227,3218625.898000002,,255189.9640000001,87146.248,230384.784,2519734.258,2257.767,5348580.395000007,444542.511,112387.517,296331.7830000003,2483792.116,234574.06250000023,77266.0704999999,22875457.098000012,2018,1
2018-02,2388895.188,180623.013,4592320.568,3681480.8310000007,,237628.3150000001,84647.968,210409.161,2214076.313,1754.305,4680465.501000004,511075.981,229808.151,301601.46799999994,2254612.914000004,209150.52299999993,67136.11700000003,21845686.317,2018,2
2018-03,4402434.323000007,369777.722,4488917.022,1510503.7060000002,,245332.3609999999,80355.949,195203.052,1548319.038,1599.522,7726428.208999995,591497.209,233955.943,271633.94500000024,2337945.8550000014,227119.55049999984,77633.27249999999,24308656.678999998,2018,3
2018-04,4718449.0120000085,345637.317,3812588.835,1543645.3779999998,0.0,239921.52099999992,79213.685,189558.611,1495045.925,2262.646,4461453.843000002,702008.961,325935.092,237806.487,2355575.9460000005,178574.20800000022,77872.185,20765549.65200001,2018,4
2018-05,3523168.4649999957,153274.348,3728675.001,2441434.957000003,-0.001,255562.564,93341.337,186409.186,2262766.635,2034.203,3319731.9039999964,813590.951,477209.634,291745.65299999976,2420884.296999998,148028.147,35345.674,20153202.95499999,2018,5
2018-06,3718076.6280000047,58722.832,3591591.351,2481269.4060000023,0.0,255793.74200000011,101088.371,200030.849,2451828.687,2321.804,2632680.2330000023,819813.107,551292.603,304801.0770000002,2407025.0220000013,190542.43100000007,65936.057,19832814.20000001,2018,6
2018-07,3027391.874,35299.307,4471023.688,3729627.758999999,0.001,295197.7570000002,114929.521,206693.728,2513179.578,3716.283,2576189.1320000035,935320.61,858898.33,324172.96100000007,2440166.8509999965,214466.4979999998,79704.86300000003,21825978.740999997,2018,7
2018-08,2105596.6819999996,59999.606,5135724.891,3753176.101999998,-0.001,329327.88200000016,113581.708,214943.949,2977305.828,2859.321,3132684.651999998,847494.726,688557.997,317406.8809999997,2364810.247000001,210090.84650000033,81187.42850000008,22334748.746,2018,8
2018-09,1926844.8889999983,39235.238,5013034.921,4355469.696000002,,298103.21499999997,103412.994,188605.27,2461237.901,2165.861,2458498.8490000013,722200.637,465636.985,320236.33899999986,2410766.1649999977,202904.66850000017,78623.90850000005,21046977.537,2018,9
2018-10,1462712.3869999999,206750.96,5150671.803,3551336.5629999978,,283325.0139999996,79717.356,201924.623,2864457.698,873.311,4321986.963999995,571934.076,292493.431,297768.8349999998,2522643.940999999,215957.16299999988,81018.12899999999,22105572.253999997,2018,10
2018-11,2162064.789000001,138760.574,3829983.448,3983446.3270000014,,239668.141,73572.245,224026.254,3527115.431,900.788,4559010.273000003,376484.89,78576.117,293487.1490000001,2475332.1750000007,199092.2970000001,68737.11600000002,22230258.014000006,2018,11
